cluster,row_count,row_count_proportion,IRON_FEED_PERC_mean_historical_actuals,SILICA_FEED_PERC_mean_historical_actuals,STARCH_FLOW_mean_historical_actuals,AMINA_FLOW_mean_historical_actuals,ORE_PULP_FLOW_mean_historical_actuals,ORE_PULP_PH_mean_historical_actuals,ORE_PULP_DENSITY_mean_historical_actuals,FLOTATION_COLUMN_01_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_02_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_03_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_04_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_05_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_06_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_07_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_01_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_02_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_03_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_04_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_05_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_06_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_07_LEVEL_mean_historical_actuals,IRON_CONCENTRATE_PERC_mean_historical_actuals,SILICA_CONCENTRATE_PERC_mean_historical_actuals
37,51,0.012521482936410509,55.128986928104574,15.651993464052287,2663.136864456805,510.9202481479484,399.53323978758806,9.839490104036,1.6763057321367625,298.38976508012,282.9282516079927,298.7963387965769,300.01111187586315,299.2935839666502,321.26023453499454,318.17941712282135,453.0910430600614,486.5801291687728,454.0793655265706,390.4048412762,398.13384317216526,397.9882356295076,392.30367944783467,65.03058011069763,2.396820475595853
38,27,0.006629020378099681,54.704614197530866,15.893780864197531,2413.823261915692,498.2429110521594,398.9975372960957,9.685840613683128,1.6720685553258239,293.7342652448449,284.9910205402449,294.4402642526785,299.8279583682082,299.63723242018636,307.4696448473937,304.6542452702046,462.0429165910106,512.7900871174348,470.69850964994504,402.7577966614689,411.43539237456827,425.62964790998154,402.07501883937454,65.14785462997219,2.335489412773907
39,34,0.008347655290940338,58.02512254901961,13.175110294117648,3643.6754001596505,550.5310735816167,400.0077946610978,10.02152658278867,1.6911581780478282,291.05964870983115,292.70353827954796,292.80122837009804,299.9124268921938,299.93328087856867,294.3395872412854,293.3050728570942,469.02092181072265,473.7203584059935,466.6796316187139,451.59854177404026,450.0788199281543,447.53339300865264,448.9639203388875,65.23808823529411,2.251446338932984
40,45,0.011048367296832801,57.02806481481481,13.689416666666668,2931.8696732067315,458.29889867549394,400.0041065893431,9.673839732073045,1.6655753220271774,283.91132175411525,277.16049071502056,286.1141754218107,299.9117300494003,299.61911464980534,299.2050521270576,300.3596456069959,495.7648433428229,479.1260045831644,491.7566566183969,395.8855082105578,397.7583762289509,408.2810751038793,399.1628911790781,65.2863425925926,2.112412037037037
41,16,0.003928308372207218,60.30583333333333,10.284739583333332,2511.98735462286,398.58145476904826,400.36961729678467,9.785394978913855,1.6308653498854182,288.64873743100856,283.52226306479196,289.0495277307608,299.92414576239963,299.8893916713097,295.49566642278296,299.77916452289026,580.5406671826423,546.0275649439594,608.7246362622715,461.66114193643665,470.21453625388006,465.8892044156623,461.8127241437927,65.43369791666667,1.9528645833333331
42,12,0.0029462312791554137,54.971562500000005,15.253263888888888,1852.6365500219238,372.73372066812834,400.58600126016626,9.555161656250009,1.6108070866553088,252.69355528287505,248.2073423485182,254.8840081625128,300.0564727384987,299.63789301143044,269.02289621030144,275.1730369217088,631.7782418275023,512.3206596247016,667.4552347270275,531.2598230440202,500.41712059398213,491.95516974761085,494.5501339645511,64.65968694307357,2.32411814516875
43,50,0.012275963663147557,55.24545,15.956575,3052.82225896702,531.0070983350814,398.11432217356946,9.581166348858616,1.6831773480375125,297.88624343672217,291.0387561313478,296.80440460363343,299.8125293546177,299.74096149646664,311.4220495439815,299.5922151157407,448.4838919302282,472.03308658627896,484.22752632988124,387.6595063575982,392.91540263319075,397.7475476589784,390.30253761972466,64.79933771950616,2.542881921751707
44,38,0.009329732383992144,51.73975877192983,20.59282894736842,3417.559520377909,565.0763367460307,399.905948673835,9.852282607273391,1.704006516393097,298.8015729562622,298.46423388157893,299.2110947639669,299.9705013374722,299.6654769516358,309.0054153935185,308.36846770224173,461.95623978131096,477.01370475054347,502.52895063800753,410.60951289015645,407.7534185811919,415.0518492994639,409.47415974354294,64.68593599463863,2.7691030149157694
45,83,0.020378099680824945,56.82297690763052,14.417088353413655,3129.9711876860797,476.6501633923365,399.89463401696736,9.838387949004352,1.6707487260354394,282.3515485815201,285.1050721475304,285.23747987374605,299.9331000136879,299.72829883580556,298.2293721148483,301.57217931169123,496.6707892672555,486.1477589867065,501.67352908526226,401.83461938004945,407.3455667014713,407.3652686972827,403.39285865758563,64.93359056281274,2.312544756714421
46,65,0.015958752762091823,56.95166025641026,14.11398076923077,3590.793894989347,473.2881954501141,400.01769779334705,9.938263524750713,1.6935617778896994,272.07142659366093,271.2843531178775,270.66504283475786,299.80868224316924,300.05303961887734,290.83608185897435,290.1399237197293,491.04110581857145,479.07951683289485,492.3267370230442,433.43716373787714,428.2648702148073,430.49016456048196,423.7621446701389,65.3735673076923,2.124131579298558
